template,sentence
rel_clause,The eye that Mary saw didn’t launch any society.
adv_clause,"After the incident, a eye didn’t launch any society."
complex,"Although it was late, a eye didn’t launch any society."
simple,A system didn’t ask any death.
rel_clause,The system that Alex saw didn’t ask any death.
adv_clause,"After the incident, a system didn’t ask any death."
complex,"Although it was late, a system didn’t ask any death."
simple,A election didn’t carry any production.
rel_clause,The election that John saw didn’t carry any production.
adv_clause,"After the incident, a election didn’t carry any production."
complex,"Although it was late, a election didn’t carry any production."
simple,A game didn’t contain any family.
rel_clause,The game that John saw didn’t contain any family.
adv_clause,"After the incident, a game didn’t contain any family."
complex,"Although it was late, a game didn’t contain any family."
simple,A brother didn’t issue any class.
rel_clause,The brother that John saw didn’t issue any class.
adv_clause,"After the incident, a brother didn’t issue any class."
complex,"Although it was late, a brother didn’t issue any class."
simple,A team didn’t earn any law.
rel_clause,The team that John saw didn’t earn any law.
adv_clause,"After the incident, a team didn’t earn any law."
complex,"Although it was late, a team didn’t earn any law."
simple,A election didn’t give any age.
rel_clause,The election that Mary saw didn’t give any age.
adv_clause,"After the incident, a election didn’t give any age."
complex,"Although it was late, a election didn’t give any age."
simple,A power didn’t achieve any district.
rel_clause,The power that Mary saw didn’t achieve any district.
adv_clause,"After the incident, a power didn’t achieve any district."
complex,"Although it was late, a power didn’t achieve any district."
simple,A year didn’t launch any woman.
rel_clause,The year that David saw didn’t launch any woman.
adv_clause,"After the incident, a year didn’t launch any woman."
complex,"Although it was late, a year didn’t launch any woman."
simple,A system didn’t purchase any number.
rel_clause,The system that Sarah saw didn’t purchase any number.
adv_clause,"After the incident, a system didn’t purchase any number."
complex,"Although it was late, a system didn’t purchase any number."
simple,A door didn’t occupy any town.
rel_clause,The door that Sarah saw didn’t occupy any town.
adv_clause,"After the incident, a door didn’t occupy any town."
complex,"Although it was late, a door didn’t occupy any town."
simple,A part didn’t pick any football.
rel_clause,The part that Sarah saw didn’t pick any football.
adv_clause,"After the incident, a part didn’t pick any football."
complex,"Although it was late, a part didn’t pick any football."
simple,A age didn’t kill any state.
rel_clause,The age that Mary saw didn’t kill any state.
adv_clause,"After the incident, a age didn’t kill any state."
complex,"Although it was late, a age didn’t kill any state."
simple,A role didn’t cover any hand.
rel_clause,The role that Mary saw didn’t cover any hand.
adv_clause,"After the incident, a role didn’t cover any hand."
complex,"Although it was late, a role didn’t cover any hand."
simple,A government didn’t pay any member.
rel_clause,The government that Alex saw didn’t pay any member.
adv_clause,"After the incident, a government didn’t pay any member."
complex,"Although it was late, a government didn’t pay any member."
simple,A area didn’t raise any family.
rel_clause,The area that Alex saw didn’t raise any family.
adv_clause,"After the incident, a area didn’t raise any family."
complex,"Although it was late, a area didn’t raise any family."
simple,A program didn’t launch any heart.
rel_clause,The program that David saw didn’t launch any heart.
adv_clause,"After the incident, a program didn’t launch any heart."
complex,"Although it was late, a program didn’t launch any heart."
simple,A hand didn’t launch any use.
rel_clause,The hand that Sarah saw didn’t launch any use.
adv_clause,"After the incident, a hand didn’t launch any use."
complex,"Although it was late, a hand didn’t launch any use."
simple,A eye didn’t grant any family.
rel_clause,The eye that Sarah saw didn’t grant any family.
adv_clause,"After the incident, a eye didn’t grant any family."
complex,"Although it was late, a eye didn’t grant any family."
simple,A brother didn’t finish any student.
rel_clause,The brother that Alex saw didn’t finish any student.
adv_clause,"After the incident, a brother didn’t finish any student."
complex,"Although it was late, a brother didn’t finish any student."
simple,A life didn’t own any wife.
rel_clause,The life that Alex saw didn’t own any wife.
adv_clause,"After the incident, a life didn’t own any wife."
complex,"Although it was late, a life didn’t own any wife."
simple,A place didn’t tell any version.
rel_clause,The place that John saw didn’t tell any version.
adv_clause,"After the incident, a place didn’t tell any version."
complex,"Although it was late, a place didn’t tell any version."
simple,A book didn’t answer any state.
rel_clause,The book that David saw didn’t answer any state.
adv_clause,"After the incident, a book didn’t answer any state."
complex,"Although it was late, a book didn’t answer any state."
simple,A music didn’t lift any role.
rel_clause,The music that John saw didn’t lift any role.
adv_clause,"After the incident, a music didn’t lift any role."
complex,"Although it was late, a music didn’t lift any role."
simple,A region didn’t provide any wife.
rel_clause,The region that John saw didn’t provide any wife.
adv_clause,"After the incident, a region didn’t provide any wife."
complex,"Although it was late, a region didn’t provide any wife."
simple,A site didn’t take any church.
rel_clause,The site that Alex saw didn’t take any church.
